method,bias,rmse,mae,variance_ratio,kl_divergence,ks_statistic,ks_pvalue,acf_rmse,acf_correlation,mechanism
linear_interpolation,-0.0018071310295064,1.003089570165654,0.4232056864860926,0.945768905858234,0.0385967569240904,0.021,0.9802627322900356,0.0297664190849372,0.9993611180071844,MCAR
forward_fill,0.0256345476603991,1.445422982888905,0.5300095305239823,1.2132821256464943,0.0382758059018389,0.016,0.9995502785541052,0.0217460515234037,0.9970184643804731,MCAR
regression,-0.0222779597235466,1.5971780533275688,0.659119334805905,0.7652554754808918,0.0694238053649562,0.069,0.0170901484687685,0.0583430235751925,0.9971929221988848,MCAR
knn,-0.0415449594319055,1.7379564462269337,0.7025497124686296,0.7282392567980831,0.055732917286529,0.061,0.0483971507918124,0.084721478899609,0.9869400444346672,MCAR
mean,-0.021694353287366,2.179916680213972,0.7467274594512326,0.6374444273323455,0.1765218013629257,0.146,1.0354134473177251e-09,0.1401915655520286,0.9243886030320382,MCAR
linear_interpolation,-0.0111584734529842,0.5833951247702476,0.1658449197615217,0.9919000898511032,0.0175012801450564,0.009,0.9999999999993714,0.0118946790502766,0.9999593666420632,MAR
forward_fill,0.0178380161869667,0.8037502650749546,0.1977318362042196,1.0913636219591714,0.0168437510370334,0.008,0.9999999999999962,0.0092213886888644,0.999129463306026,MAR
regression,-0.0686112634926548,1.1164336096015834,0.2978694735034926,0.8790061744316334,0.0242841348579324,0.039,0.4326088695815314,0.0349395750100849,0.9983318211392938,MAR
knn,-0.0599804821131353,1.1846906019066272,0.3043555227112976,0.8610640965257909,0.0213852214015828,0.028,0.8282194040312439,0.0414888782740772,0.9959918138658344,MAR
mean,-0.0732224630987627,1.5943839629890597,0.3281854810971455,0.8064439744480658,0.0471435147250159,0.071,0.0129123522307591,0.0839491938603972,0.9652002317557394,MAR
linear_interpolation,-0.0040191970925759,0.7248081841532882,0.2449672074225609,0.9796956924908756,0.0194153487224549,0.015,0.9998734489003388,0.0182425126979334,0.9998377125125864,MNAR
forward_fill,0.0138431878227521,0.95741925050156,0.2936025604701777,1.08830858384306,0.0192505261957054,0.013,0.9999962022688548,0.0125880659685341,0.9992524010780368,MNAR
regression,-0.0258432067394647,1.3150053460039357,0.429426630072423,0.8481845856512067,0.03222168260399,0.043,0.3136800387320582,0.0437786144301451,0.9981697660359088,MNAR
knn,-0.0328707703718397,1.3526172607012945,0.4358451081564865,0.8288354261464217,0.0263453612297251,0.034,0.6101664688189142,0.0531232006032526,0.9959508667698111,MNAR
mean,-0.042288282324831,1.750857185633124,0.4665404600190246,0.7662315854437196,0.0772875648152903,0.094,0.0002883096840614,0.0978724614417932,0.960679889048595,MNAR
